Index,Layer,X,Y,Z
1,1,-0.00,-0.00,142.00
2,2,-11.00,-0.00,142.00
3,2,-5.50,9.53,142.00
4,2,5.50,9.53,142.00
5,2,11.00,0.00,142.00
6,2,5.50,-9.53,142.00
7,2,-5.50,-9.53,142.00
8,3,22.00,-0.00,132.00
9,3,19.05,11.00,132.00
10,3,11.00,19.05,132.00
11,3,0.00,22.00,132.00
12,3,-11.00,19.05,132.00
13,3,-19.05,11.00,132.00
14,3,-22.00,0.00,132.00
15,3,-19.05,-11.00,132.00
16,3,-11.00,-19.05,132.00
17,3,-0.00,-22.00,132.00
18,3,11.00,-19.05,132.00
19,3,19.05,-11.00,132.00
20,4,42.00,-0.00,120.00
21,4,40.57,10.87,120.00
22,4,36.37,21.00,120.00
23,4,29.70,29.70,120.00
24,4,21.00,36.37,120.00
25,4,10.87,40.57,120.00
26,4,0.00,42.00,120.00
27,4,-10.87,40.57,120.00
28,4,-21.00,36.37,120.00
29,4,-29.70,29.70,120.00
30,4,-36.37,21.00,120.00
31,4,-40.57,10.87,120.00
32,4,-42.00,0.00,120.00
33,4,-40.57,-10.87,120.00
34,4,-36.37,-21.00,120.00
35,4,-29.70,-29.70,120.00
36,4,-21.00,-36.37,120.00
37,4,-10.87,-40.57,120.00
38,4,-0.00,-42.00,120.00
39,4,10.87,-40.57,120.00
40,4,21.00,-36.37,120.00
41,4,29.70,-29.70,120.00
42,4,36.37,-21.00,120.00
43,4,40.57,-10.87,120.00
