Index,Layer,X,Y,Z
1,1,0.00,6.00,116.00
2,2,0.00,-5.00,116.00
3,2,-9.53,0.50,116.00
4,2,-9.53,11.50,116.00
5,2,0.00,17.00,116.00
6,2,9.53,11.50,116.00
7,2,9.53,0.50,116.00
8,3,0.00,28.00,106.00
9,3,-11.00,25.05,106.00
10,3,-19.05,17.00,106.00
11,3,-22.00,6.00,106.00
12,3,-19.05,-5.00,106.00
13,3,-11.00,-13.05,106.00
14,3,0.00,-16.00,106.00
15,3,11.00,-13.05,106.00
16,3,19.05,-5.00,106.00
17,3,22.00,6.00,106.00
18,3,19.05,17.00,106.00
19,3,11.00,25.05,106.00
20,4,0.00,48.00,94.00
21,4,-10.87,46.57,94.00
22,4,-21.00,42.37,94.00
23,4,-29.70,35.70,94.00
24,4,-36.37,27.00,94.00
25,4,-40.57,16.87,94.00
26,4,-42.00,6.00,94.00
27,4,-40.57,-4.87,94.00
28,4,-36.37,-15.00,94.00
29,4,-29.70,-23.70,94.00
30,4,-21.00,-30.37,94.00
31,4,-10.87,-34.57,94.00
32,4,0.00,-36.00,94.00
33,4,10.87,-34.57,94.00
34,4,21.00,-30.37,94.00
35,4,29.70,-23.70,94.00
36,4,36.37,-15.00,94.00
37,4,40.57,-4.87,94.00
38,4,42.00,6.00,94.00
39,4,40.57,16.87,94.00
40,4,36.37,27.00,94.00
41,4,29.70,35.70,94.00
42,4,21.00,42.37,94.00
43,4,10.87,46.57,94.00
